,entrezid
1314,83737
1315,27039
1316,58476
1317,51150
1318,57644
1319,7161
1320,54472
1321,51619
1322,27098
1323,862
1324,1015
1325,9984
1326,51661
1327,114880
1328,6507
1329,7520
1330,56925
1331,11262
1332,8569
1333,7145
1334,57455
1335,56681
1336,8556
1337,10411
1338,634
1339,29843
1340,23152
1341,3991
1342,2222
1343,5050
1344,4983
1345,3835
1346,55604
1347,5236
1348,1653
1349,1785
1350,2037
1351,22999
1352,26002
1353,8417
1354,11158
1355,9817
1356,55510
1357,5794
1358,1638
1359,51006
1360,131544
1361,5991
1362,55183
1363,23011
1364,8671
1365,6595
1366,27244
1367,11043
1368,50509
1369,10847
1370,9933
1371,3781
1372,4850
1373,5663
1374,1371
1375,56650
1376,5891
1377,3320
1378,5933
1379,22839
1380,10403
1381,23431
1382,54665
1383,260425
1384,2920
1385,174
1386,1286
1387,6932
1388,28962
1389,1005
1390,50939
1391,57092
1392,55218
1393,384
1394,4208
1395,5788
1396,79876
1397,9262
1398,8555
1399,22869
1400,4036
1401,440515
1402,65094
1403,11266
1404,65985
1405,9812
1406,93664
1407,56131
1408,56142
1409,56113
1410,51668
1411,23239
1412,5205
1413,3595
1414,6604
1415,55100
1416,2533
1417,58538
1418,55437
1419,9689
1420,5241
1421,114899
1422,4200
1423,55322
1424,905
1425,57579
1426,1310
1427,23136
1428,22837
1429,1741
1430,3776
1431,56256
1432,7188
1433,29093
1434,25929
1435,4779
1436,2932
1437,3693
1438,23085
1439,7514
1440,11342
1441,80036
1442,79728
1443,23033
1444,57226
1445,594
1446,7994
1447,79670
1448,9706
1449,3842
1450,5351
1451,5026
1452,3682
1453,22894
1454,10464
1455,81550
1456,26747
1457,23047
1458,5019
1459,10325
1460,1540
1461,10998
1462,25799
1463,79891
1464,55659
1465,54807
1466,55663
1467,9422
1468,6193
1469,2195
1470,91746
1471,25978
1472,64744
1473,10450
1474,10269
1475,56910
1476,84273
1477,5978
1478,3034
1479,54434
1480,2950
1481,334
1482,57613
1483,6579
1484,51729
1485,8668
1486,79570
1487,1307
1488,200081
1489,338
1490,8648
1491,60509
1492,22979
1493,3797
1494,10890
1495,2646
1496,3030
1497,22924
1498,790
1499,966
1500,3732
1501,63035
1502,546
1503,102157402
1504,2219
1505,55892
1506,2122
1507,9522
1508,5550
1509,57531
1510,81929
1511,22911
1512,57590
1513,5016
1514,29957
1515,4216
1516,29992
1517,57549
1518,5243
1519,7760
1520,231
1521,8895
1522,54700
1523,2017
1524,7481
1525,4528
1526,23259
1527,22996
1528,2060
1529,4998
1530,4258
1531,10523
1532,55054
1533,55230
1534,55624
1535,8438
1536,23139
1537,3301
1538,2683
1539,51510
1540,4799
1541,363
1542,27292
1543,51194
1544,2346
1545,27102
1546,54749
1547,29887
1548,22929
1549,10573
1550,80271
1551,2196
1552,55696
1553,10959
1554,56605
1555,54469
1556,3294
1557,55787
1558,5475
1559,7462
1560,10075
1561,9183
1562,79796
1563,4606
1564,50507
1565,8310
1566,8898
1567,23645
1568,51171
1569,7205
1570,43
1571,2512
1572,51593
1573,581
1574,51701
1575,94005
1576,9509
1577,56970
1578,9489
1579,5705
1580,51720
1581,1071
1582,4313
1583,4504
1584,54947
1585,2775
1586,55239
1587,6452
1588,8602
1589,118
1590,79944
1591,57544
1592,51637
1593,22795
1594,64395
1595,10992
1596,57542
1597,2778
1598,10059
1599,5744
1600,116154
1601,51290
1602,7022
1603,6790
1604,57091
1605,8544
1606,28971
1607,5990
1608,339175
1609,6820
1610,29929
1611,4849
1612,5775
1613,8886
1614,8570
1615,2767
1616,55616
1617,55741
1618,1789
1619,28954
1620,22974
1621,81572
1622,2036
1623,6564
1624,23348
1625,55608
1626,23483
1627,1795
1628,51161
1629,57017
1630,55287
1631,64147
1632,79822
1633,54675
1634,23368
1635,8455
1636,54498
1637,6614
1638,2280
1639,55968
1640,83959
1641,25943
1642,79175
1643,57593
1644,56265
1645,57506
1646,9762
1647,22803
1648,55857
1649,8655
1650,54997
1651,27131
1652,6128
1653,8550
1654,5027
1655,51575
1656,10741
1657,51433
1658,9962
1659,80024
1660,29058
1661,55184
1662,84678
1663,26074
1664,55617
1665,4938
1666,10985
1667,6175
1668,5829
1669,23409
1670,22895
1671,55614
1672,51605
1673,1114
1674,5037
1675,6910
1676,8315
1677,10961
1678,4842
1679,2521
1680,3476
1681,53827
1682,55900
1683,57655
1684,5349
1685,9843
1686,29965
1687,113540
1688,23193
1689,51291
1690,55285
1691,332
1692,3902
1693,8079
1694,78990
1695,57062
1696,7597
1697,25977
1698,393
1699,170961
1700,55760
1701,23186
1702,55668
1703,8425
1704,645
1705,6548
1706,10558
1707,10914
1708,8812
1709,57060
1710,83719
1711,51650
1712,4708
1713,10726
1714,10296
1715,3383
1716,29888
1717,11213
1718,79594
1719,7023
1720,10081
1721,51324
1722,51726
1723,55214
1724,7066
1725,8646
1726,2323
1727,9727
1728,84572
1729,10795
1730,2802
1731,8761
1732,30835
1733,79603
1734,57192
1735,84196
1736,1947
1737,55066
1738,16
1739,2734
1740,24137
1741,27327
1742,64857
1743,10683
1744,57106
1745,57605
1746,55763
1747,54439
1748,114882
1749,113878
1750,58484
1751,54517
1752,22798
1753,4897
1754,3912
1755,5172
1756,1738
1757,23335
1758,9352
1759,3568
1760,368
1761,54918
1762,3655
1763,11069
1764,51776
1765,2271
1766,23231
1767,7018
1768,55573
1769,51168
1770,54890
1771,350
1772,22861
1773,83394
1774,9552
1775,23594
1776,79776
1777,1357
1778,51530
1779,2099
1780,26575
1781,285
1782,84336
1783,4345
1784,151887
1785,1215
1786,5720
1787,55012
1788,54930
1789,23428
1790,55644
1791,51310
1792,55072
1793,23256
1794,55632
1795,25831
1796,3183
1797,57096
1798,11198
1799,9878
1800,8487
1801,7051
1802,26277
1803,57556
1804,54822
1805,7301
1806,79968
1807,825
1808,8773
1809,6913
1810,26227
1811,1299
1812,7430
1813,4637
1814,26523
1815,27285
1816,63967
1817,117584
1818,201294
1819,79157
1820,1808
1821,7042
1822,55105
1823,10762
1824,8318
1825,1312
1826,51816
1827,55350
1828,55862
1829,9209
1830,9117
1831,9942
1832,10013
1833,2568
1834,990
1835,139596
1836,8697
1837,8086
1838,23468
1839,2327
1840,51430
1841,4436
1842,4214
1843,1725
1844,29911
1845,372
1846,54566
1847,55151
1848,5711
1849,5742
1850,23511
1851,1384
1852,10044
1853,54187
1854,55357
1855,25861
1856,5146
1857,55280
1858,57715
1859,9044
1860,64376
1861,29760
1862,7093
1863,56165
1864,10580
1865,25805
1866,3589
1867,51322
1868,1390
1869,10101
1870,3096
1871,2289
1872,6732
1873,27154
1874,55168
1875,28978
1876,114327
1877,6222
1878,7917
1879,7407
1880,3326
1881,988
1882,3710
1883,7738
1884,1832
1885,23411
1886,3189
1887,80173
1888,3717
1889,3594
1890,25
1891,11332
1892,51100
1893,8317
1894,84144
1895,5125
1896,6319
1897,11018
1898,3983
1899,79956
1900,22931
1901,8829
1902,56952
1903,54873
1904,55506
1905,387680
1906,23031
1907,7593
1908,79629
1909,4650
1910,9424
1911,57828
1912,5714
1913,54620
1914,112755
1915,80270
1916,9739
1917,9274
1918,1153
1919,513
1920,255057
1921,83259
1922,3483
1923,4670
1924,51257
1925,4713
1926,9524
1927,26517
1928,997
1929,4507
1930,126353
1931,283638
1932,5434
1933,5442
1934,610
1935,53841
1936,113177
1937,8045
1938,4616
1939,5064
1940,8174
1941,2872
1942,421
1943,27037
1944,5902
1945,29801
1946,84861
1947,51586
1948,9342
1949,1399
1950,8216
1951,4320
1952,27443
1953,6598
1954,9127
1955,91319
1956,6545
1957,23786
1958,100037417
1959,1652
1960,2953
1961,23523
1962,83874
1963,56241
1964,10291
1965,2687
1966,200312
1967,23541
1968,266629
1969,23384
1970,23759
1971,51733
1972,29799
1973,6634
1974,23481
1975,5594
1976,2678
1977,5625
1978,9647
1979,339665
1980,8940
1981,27128
1982,8220
1983,29775
1984,91355
1985,6576
1986,157
1987,3957
1988,26088
1989,7290
1990,23616
1991,3956
1992,89781
1993,113791
1994,402055
1995,23598
1996,11078
1997,24144
1998,23464
1999,91227
2000,129138
2001,51386
2002,4809
2003,85377
2004,5435
2005,79879
2006,9681
2007,9463
2008,23331
2009,23539
2010,79019
2011,55964
2012,6523
2013,11015
2014,1565
2015,10521
2016,11144
2017,6942
2018,150274
2019,25776
2020,56993
2021,7494
2022,51493
2023,9929
2024,25793
2025,9567
2026,84271
2027,9609
2028,7078
2029,9701
2030,6305
2031,25777
2032,1727
2033,10126
2034,25770
2035,91289
2036,25807
2037,11252
2038,25809
2039,162
2040,10042
2041,10043
2042,4744
2043,1120
2044,3162
2045,27349
2046,8563
2047,4174
2048,164668
2049,410
2050,706
2051,23551
2052,23170
2053,23492
2054,164633
2055,6122
2056,55954
2057,23543
2058,9145
2059,10454
2060,84164
2061,8897
2062,54471
2063,80832
2064,150379
2065,8542
2066,80339
2067,4627
2068,8911
2069,25813
2070,25828
2071,80020
2072,8664
2073,23112
2074,27352
2075,11020
2076,23313
2077,10478
2078,55007
2079,79734
2080,6767
2081,3560
2082,9978
